No,Ch1,Ch2,Ch3,Ch4
22009,0.228,0.211,0.307,0.254
22010,0.111,0.353,0.202,0.334
22011,0.11,0.308,0.265,0.317
22012,0.218,0.26,0.167,0.355
22013,0.237,0.223,0.272,0.268
22014,0.198,0.16,0.452,0.19
22015,0.134,0.139,0.412,0.315
22016,0.113,0.286,0.246,0.355
22017,0.106,0.475,0.222,0.197
22018,0.338,0.178,0.22,0.264
22019,0.268,0.13,0.294,0.308
22020,0.136,0.157,0.392,0.315
22021,0.214,0.183,0.286,0.317
22022,0.296,0.245,0.149,0.31
22023,0.209,0.207,0.3,0.284
22024,0.223,0.217,0.216,0.344
22025,0.271,0.216,0.185,0.328
22026,0.474,0.128,0.157,0.241
22027,0.301,0.139,0.19,0.37
22028,0.344,0.149,0.213,0.294
22029,0.148,0.228,0.198,0.426
22030,0.293,0.175,0.311,0.221
22031,0.229,0.194,0.144,0.433
22032,0.151,0.23,0.229,0.39
22033,0.206,0.14,0.436,0.218
22034,0.423,0.187,0.14,0.25
22035,0.304,0.187,0.145,0.364
22036,0.372,0.183,0.184,0.261
22037,0.163,0.269,0.128,0.44
22038,0.136,0.258,0.154,0.452
22039,0.37,0.205,0.189,0.236
22040,0.21,0.351,0.186,0.253
22041,0.271,0.098,0.406,0.225
22042,0.223,0.173,0.409,0.195
22043,0.171,0.388,0.231,0.21
22044,0.264,0.139,0.317,0.28
22045,0.105,0.389,0.282,0.224
22046,0.217,0.172,0.329,0.282
22047,0.148,0.254,0.324,0.274
22048,0.097,0.472,0.228,0.203
22049,0.115,0.459,0.204,0.222
22050,0.151,0.321,0.277,0.251
22051,0.171,0.248,0.373,0.208
22052,0.209,0.361,0.184,0.246
22053,0.112,0.445,0.261,0.182
22054,0.093,0.226,0.476,0.205
22055,0.153,0.338,0.321,0.188
22056,0.127,0.353,0.326,0.194
22057,0.25,0.141,0.358,0.251
22058,0.146,0.44,0.243,0.171
22059,0.34,0.372,0.087,0.201
22060,0.201,0.229,0.163,0.407
22061,0.124,0.189,0.423,0.264
22062,0.084,0.184,0.483,0.249
22063,0.067,0.516,0.18,0.237
22064,0.404,0.129,0.184,0.283
22065,0.128,0.185,0.299,0.388
22066,0.355,0.128,0.147,0.37
22067,0.316,0.206,0.096,0.382
22068,0.141,0.566,0.074,0.219
22069,0.111,0.407,0.116,0.366
22070,0.285,0.13,0.101,0.484
22071,0.203,0.2,0.096,0.501
22072,0.079,0.429,0.278,0.214
22073,0.125,0.138,0.278,0.459
22074,0.097,0.619,0.15,0.134
22075,0.109,0.245,0.206,0.44
22076,0.563,0.082,0.103,0.252
22077,0.164,0.122,0.104,0.61
22078,0.222,0.197,0.115,0.466
22079,0.365,0.175,0.124,0.336
22080,0.112,0.148,0.422,0.318
22081,0.137,0.441,0.136,0.286
22082,0.414,0.168,0.139,0.279
22083,0.09,0.466,0.121,0.323
22084,0.147,0.217,0.149,0.487
22085,0.206,0.127,0.234,0.433
22086,0.103,0.329,0.133,0.435
22087,0.119,0.113,0.3,0.468
22088,0.141,0.187,0.138,0.534
22089,0.084,0.413,0.204,0.299
22090,0.127,0.18,0.188,0.505
22091,0.113,0.12,0.488,0.279
22092,0.441,0.191,0.101,0.267
22093,0.116,0.146,0.353,0.385
22094,0.126,0.118,0.292,0.464
22095,0.128,0.158,0.155,0.559
22096,0.129,0.097,0.45,0.324
22097,0.339,0.105,0.14,0.416
22098,0.247,0.133,0.456,0.164
22099,0.14,0.361,0.163,0.336
22100,0.11,0.173,0.496,0.221
22101,0.432,0.197,0.117,0.254
22102,0.149,0.385,0.135,0.331
22103,0.236,0.197,0.172,0.395
22104,0.232,0.254,0.121,0.393
22105,0.113,0.315,0.186,0.386
22106,0.489,0.146,0.142,0.223
22107,0.128,0.148,0.433,0.291
22108,0.294,0.204,0.178,0.324
22109,0.346,0.326,0.115,0.213
22110,0.13,0.153,0.168,0.549
22111,0.281,0.156,0.145,0.418
22112,0.107,0.175,0.439,0.279
22113,0.1,0.488,0.155,0.257
22114,0.152,0.182,0.173,0.493
22115,0.156,0.192,0.182,0.47
22116,0.109,0.148,0.473,0.27
22117,0.253,0.153,0.42,0.174
22118,0.522,0.16,0.1,0.218
22119,0.148,0.502,0.112,0.238
22120,0.106,0.128,0.523,0.243
22121,0.15,0.215,0.178,0.457
22122,0.118,0.182,0.53,0.17
22123,0.088,0.523,0.143,0.246
22124,0.106,0.284,0.211,0.399
22125,0.239,0.152,0.171,0.438
22126,0.179,0.141,0.228,0.452
22127,0.52,0.123,0.149,0.208
22128,0.425,0.174,0.17,0.231
22129,0.125,0.129,0.207,0.539
22130,0.112,0.23,0.464,0.194
22131,0.493,0.143,0.147,0.217
22132,0.142,0.198,0.46,0.2
22133,0.089,0.13,0.545,0.236
22134,0.22,0.138,0.161,0.481
22135,0.521,0.098,0.122,0.259
22136,0.36,0.271,0.099,0.27
22137,0.108,0.272,0.362,0.258
22138,0.107,0.547,0.101,0.245
22139,0.167,0.3,0.287,0.246
22140,0.09,0.072,0.593,0.245
22141,0.079,0.244,0.419,0.258
22142,0.192,0.077,0.507,0.224
22143,0.069,0.391,0.265,0.275
22144,0.066,0.192,0.591,0.151
22145,0.067,0.075,0.578,0.28
22146,0.092,0.071,0.554,0.283
22147,0.284,0.076,0.364,0.276
22148,0.552,0.074,0.07,0.304
22149,0.075,0.592,0.079,0.254
22150,0.184,0.071,0.577,0.168
22151,0.087,0.078,0.563,0.272
22152,0.211,0.083,0.097,0.609
22153,0.06,0.405,0.357,0.178
22154,0.064,0.571,0.082,0.283
22155,0.091,0.268,0.183,0.458
22156,0.093,0.436,0.24,0.231
22157,0.096,0.405,0.336,0.163
22158,0.096,0.298,0.127,0.479
22159,0.093,0.24,0.48,0.187
22160,0.205,0.165,0.144,0.486
22161,0.116,0.153,0.257,0.474
22162,0.089,0.134,0.529,0.248
22163,0.273,0.152,0.098,0.477
22164,0.072,0.087,0.588,0.253
22165,0.091,0.558,0.115,0.236
22166,0.402,0.363,0.106,0.129
22167,0.56,0.145,0.146,0.149
22168,0.107,0.125,0.542,0.226
22169,0.459,0.101,0.141,0.299
22170,0.064,0.259,0.482,0.195
22171,0.093,0.275,0.379,0.253
22172,0.177,0.142,0.148,0.533
22173,0.189,0.485,0.085,0.241
22174,0.383,0.157,0.153,0.307
22175,0.15,0.32,0.15,0.38
22176,0.221,0.15,0.216,0.413
22177,0.176,0.149,0.204,0.471
22178,0.272,0.328,0.135,0.265
22179,0.157,0.246,0.163,0.434
22180,0.233,0.121,0.406,0.24
22181,0.139,0.386,0.186,0.289
22182,0.314,0.135,0.206,0.345
22183,0.172,0.37,0.116,0.342
22184,0.206,0.157,0.173,0.464
22185,0.197,0.26,0.109,0.434
22186,0.132,0.39,0.141,0.337
22187,0.193,0.268,0.131,0.408
22188,0.246,0.181,0.239,0.334
22189,0.175,0.117,0.344,0.364
22190,0.115,0.388,0.109,0.388
22191,0.22,0.151,0.366,0.263
22192,0.166,0.162,0.21,0.462
22193,0.141,0.167,0.178,0.514
22194,0.201,0.172,0.119,0.508
22195,0.22,0.47,0.165,0.145
22196,0.17,0.155,0.143,0.532
22197,0.123,0.31,0.117,0.45
22198,0.165,0.136,0.151,0.548
22199,0.538,0.117,0.125,0.22
22200,0.317,0.098,0.108,0.477
22201,0.123,0.505,0.143,0.229
22202,0.499,0.194,0.118,0.189
22203,0.512,0.171,0.131,0.186
22204,0.161,0.183,0.101,0.555
22205,0.223,0.147,0.177,0.453
22206,0.093,0.136,0.309,0.462
22207,0.123,0.134,0.239,0.504
22208,0.263,0.197,0.113,0.427
22209,0.151,0.126,0.134,0.589
22210,0.12,0.156,0.152,0.572
22211,0.126,0.168,0.131,0.575
22212,0.106,0.267,0.256,0.371
22213,0.146,0.325,0.192,0.337
22214,0.113,0.17,0.447,0.27
22215,0.087,0.221,0.503,0.189
22216,0.411,0.195,0.146,0.248
22217,0.103,0.175,0.469,0.253
22218,0.149,0.268,0.135,0.448
22219,0.225,0.141,0.129,0.505
22220,0.578,0.11,0.127,0.185
22221,0.142,0.163,0.192,0.503
22222,0.51,0.139,0.156,0.195
22223,0.166,0.288,0.131,0.415
22224,0.224,0.176,0.178,0.422
22225,0.578,0.169,0.097,0.156
22226,0.109,0.125,0.561,0.205
22227,0.317,0.161,0.194,0.328
22228,0.099,0.544,0.125,0.232
22229,0.204,0.436,0.092,0.268
22230,0.177,0.122,0.512,0.189
22231,0.608,0.113,0.111,0.168
22232,0.389,0.142,0.11,0.359
22233,0.106,0.135,0.394,0.365
22234,0.281,0.452,0.091,0.176
22235,0.384,0.122,0.113,0.381
22236,0.623,0.085,0.09,0.202
22237,0.258,0.114,0.223,0.405
22238,0.093,0.218,0.449,0.24
22239,0.098,0.486,0.22,0.196
22240,0.091,0.253,0.269,0.387
22241,0.183,0.222,0.16,0.435
22242,0.367,0.17,0.116,0.347
22243,0.086,0.491,0.103,0.32
22244,0.259,0.457,0.096,0.188
22245,0.43,0.099,0.109,0.362
22246,0.091,0.445,0.1,0.364
22247,0.102,0.092,0.433,0.373
22248,0.402,0.075,0.351,0.172
22249,0.096,0.144,0.285,0.475
22250,0.249,0.094,0.187,0.47
22251,0.124,0.108,0.278,0.49
22252,0.128,0.109,0.38,0.383
22253,0.171,0.268,0.088,0.473
22254,0.112,0.116,0.276,0.496
22255,0.134,0.124,0.223,0.519
22256,0.244,0.105,0.143,0.508
22257,0.372,0.105,0.16,0.363
22258,0.104,0.265,0.235,0.396
22259,0.165,0.117,0.168,0.55
22260,0.117,0.115,0.228,0.54
22261,0.139,0.116,0.256,0.489
22262,0.246,0.198,0.113,0.443
22263,0.102,0.217,0.112,0.569
22264,0.276,0.169,0.089,0.466
22265,0.158,0.123,0.498,0.221
22266,0.18,0.087,0.212,0.521
22267,0.097,0.097,0.293,0.513
22268,0.196,0.161,0.123,0.52
22269,0.227,0.457,0.097,0.219
22270,0.173,0.21,0.307,0.31
22271,0.197,0.216,0.304,0.283
22272,0.206,0.32,0.137,0.337
22273,0.213,0.209,0.286,0.292
22274,0.214,0.357,0.144,0.285
22275,0.139,0.359,0.194,0.308
22276,0.119,0.251,0.291,0.339
22277,0.275,0.193,0.351,0.181
22278,0.115,0.289,0.25,0.346
22279,0.345,0.213,0.149,0.293
22280,0.209,0.149,0.217,0.425
22281,0.492,0.137,0.165,0.206
22282,0.092,0.272,0.46,0.176
22283,0.188,0.207,0.191,0.414
22284,0.268,0.202,0.333,0.197
22285,0.136,0.308,0.138,0.418
22286,0.168,0.127,0.366,0.339
22287,0.238,0.239,0.124,0.399
22288,0.206,0.197,0.132,0.465
22289,0.123,0.417,0.123,0.337
22290,0.216,0.102,0.327,0.355
22291,0.425,0.132,0.126,0.317
22292,0.237,0.156,0.162,0.445
22293,0.124,0.251,0.15,0.475
22294,0.28,0.236,0.136,0.348
22295,0.235,0.149,0.311,0.305
22296,0.188,0.152,0.222,0.438
22297,0.137,0.147,0.285,0.431
22298,0.095,0.199,0.301,0.405
22299,0.132,0.309,0.124,0.435
