No,Ch1,Ch2,Ch3,Ch4,Result,ANS,Accuracy
17304,0.113,0.113,0.519,0.255,Ch3,Ch3,1
17305,0.17,0.32,0.144,0.366,Ch4,Ch4,1
17306,0.118,0.294,0.171,0.417,Ch4,Ch4,1
17307,0.415,0.131,0.121,0.333,Ch1,Ch4,0
17308,0.117,0.397,0.137,0.349,Ch2,Ch4,0
17309,0.111,0.14,0.45,0.299,Ch3,Ch3,1
17310,0.098,0.382,0.109,0.411,Ch4,Ch2,0
17311,0.094,0.135,0.527,0.244,Ch3,Ch3,1
17312,0.35,0.18,0.191,0.279,Ch1,Ch4,0
17313,0.232,0.157,0.119,0.492,Ch4,Ch4,1
17314,0.138,0.47,0.073,0.319,Ch2,Ch2,1
17315,0.53,0.09,0.093,0.287,Ch1,Ch1,1
17316,0.102,0.156,0.402,0.34,Ch3,Ch3,1
17317,0.135,0.298,0.269,0.298,Ch2,Ch3,0
17318,0.149,0.332,0.077,0.442,Ch4,Ch4,1
17319,0.181,0.161,0.391,0.267,Ch3,Ch3,1
17320,0.135,0.173,0.104,0.588,Ch4,Ch4,1
17321,0.269,0.188,0.176,0.367,Ch4,Ch4,1
17322,0.271,0.12,0.122,0.487,Ch4,Ch4,1
17323,0.127,0.146,0.134,0.593,Ch4,Ch4,1
17324,0.252,0.124,0.152,0.472,Ch4,Ch4,1
17325,0.136,0.305,0.083,0.476,Ch4,Ch4,1
17326,0.113,0.125,0.417,0.345,Ch3,Ch3,1
17327,0.203,0.161,0.124,0.512,Ch4,Ch4,1
17328,0.233,0.09,0.426,0.251,Ch3,Ch3,1
17329,0.14,0.347,0.303,0.21,Ch2,Ch4,0
17330,0.337,0.222,0.239,0.202,Ch1,Ch2,0
17331,0.254,0.295,0.215,0.236,Ch2,Ch3,0
17332,0.447,0.243,0.107,0.203,Ch1,Ch2,0
17333,0.247,0.263,0.272,0.218,Ch3,Ch4,0
17334,0.163,0.347,0.252,0.238,Ch2,Ch3,0
17335,0.322,0.256,0.146,0.276,Ch1,Ch2,0
17336,0.21,0.206,0.288,0.296,Ch4,Ch2,0
17337,0.329,0.151,0.175,0.345,Ch4,Ch3,0
17338,0.315,0.113,0.288,0.284,Ch1,Ch4,0
17339,0.262,0.334,0.143,0.261,Ch2,Ch2,1
17340,0.269,0.249,0.276,0.206,Ch3,Ch1,0
17341,0.229,0.137,0.403,0.231,Ch3,Ch1,0
17342,0.346,0.167,0.159,0.328,Ch1,Ch1,1
17343,0.279,0.281,0.202,0.238,Ch2,Ch2,1
17344,0.231,0.285,0.29,0.194,Ch3,Ch3,1
17345,0.164,0.229,0.246,0.361,Ch4,Ch4,1
17346,0.295,0.237,0.259,0.209,Ch1,Ch2,0
17347,0.17,0.318,0.246,0.266,Ch2,Ch1,0
17348,0.205,0.262,0.192,0.341,Ch4,Ch4,1
17349,0.185,0.181,0.269,0.365,Ch4,Ch1,0
17350,0.209,0.232,0.187,0.372,Ch4,Ch4,1
17351,0.237,0.198,0.253,0.312,Ch4,Ch1,0
17352,0.152,0.435,0.153,0.26,Ch2,Ch1,0
17353,0.125,0.273,0.418,0.184,Ch3,Ch2,0
17354,0.202,0.159,0.389,0.25,Ch3,Ch3,1
17355,0.147,0.245,0.339,0.269,Ch3,Ch4,0
17356,0.373,0.159,0.134,0.334,Ch1,Ch4,0
17357,0.114,0.368,0.321,0.197,Ch2,Ch2,1
17358,0.138,0.467,0.182,0.213,Ch2,Ch2,1
17359,0.336,0.149,0.25,0.265,Ch1,Ch4,0
17360,0.417,0.231,0.162,0.19,Ch1,Ch2,0
17361,0.18,0.368,0.159,0.293,Ch2,Ch4,0
17362,0.197,0.298,0.148,0.357,Ch4,Ch4,1
17363,0.257,0.182,0.246,0.315,Ch4,Ch1,0
17364,0.151,0.273,0.296,0.28,Ch3,Ch4,0
17365,0.188,0.245,0.362,0.205,Ch3,Ch1,0
17366,0.157,0.263,0.331,0.249,Ch3,Ch2,0
17367,0.431,0.177,0.108,0.284,Ch1,Ch2,0
17368,0.267,0.451,0.116,0.166,Ch2,Ch2,1
17369,0.083,0.626,0.101,0.19,Ch2,Ch2,1
17370,0.448,0.235,0.14,0.177,Ch1,Ch1,1
17371,0.156,0.168,0.146,0.53,Ch4,Ch3,0
17372,0.436,0.292,0.106,0.166,Ch1,Ch1,1
17373,0.179,0.185,0.163,0.473,Ch4,Ch1,0
17374,0.2,0.18,0.148,0.472,Ch4,Ch1,0
17375,0.174,0.213,0.122,0.491,Ch4,Ch2,0
17376,0.186,0.146,0.149,0.519,Ch4,Ch3,0
17377,0.448,0.121,0.188,0.243,Ch1,Ch3,0
17378,0.15,0.292,0.148,0.41,Ch4,Ch2,0
17379,0.382,0.305,0.085,0.228,Ch1,Ch3,0
17380,0.087,0.215,0.404,0.294,Ch3,Ch3,1
17381,0.109,0.257,0.129,0.505,Ch4,Ch2,0
17382,0.172,0.18,0.114,0.534,Ch4,Ch2,0
17383,0.15,0.13,0.179,0.541,Ch4,Ch3,0
17384,0.123,0.425,0.234,0.218,Ch2,Ch3,0
17385,0.136,0.127,0.195,0.542,Ch4,Ch1,0
17386,0.149,0.165,0.37,0.316,Ch3,Ch1,0
17387,0.32,0.251,0.246,0.183,Ch1,Ch1,1
17388,0.213,0.223,0.168,0.396,Ch4,Ch1,0
17389,0.303,0.266,0.154,0.277,Ch1,Ch2,0
17390,0.191,0.212,0.356,0.241,Ch3,Ch3,1
17391,0.13,0.344,0.253,0.273,Ch2,Ch3,0
17392,0.188,0.332,0.221,0.259,Ch2,Ch1,0
17393,0.179,0.17,0.15,0.501,Ch4,Ch2,0
17394,0.103,0.37,0.291,0.236,Ch2,Ch2,1
17395,0.11,0.319,0.333,0.238,Ch3,Ch2,0
17396,0.136,0.138,0.142,0.584,Ch4,Ch1,0
17397,0.156,0.136,0.199,0.509,Ch4,Ch1,0
17398,0.122,0.237,0.234,0.407,Ch4,Ch2,0
17399,0.348,0.171,0.152,0.329,Ch1,Ch1,1
17400,0.162,0.25,0.207,0.381,Ch4,Ch2,0
17401,0.128,0.143,0.285,0.444,Ch4,Ch3,0
17402,0.207,0.356,0.104,0.333,Ch2,Ch1,0
17403,0.402,0.147,0.216,0.235,Ch1,Ch1,1
17404,0.285,0.135,0.208,0.372,Ch4,Ch1,0
17405,0.189,0.469,0.13,0.212,Ch2,Ch3,0
17406,0.102,0.314,0.344,0.24,Ch3,Ch1,0
17407,0.105,0.276,0.354,0.265,Ch3,Ch1,0
17408,0.331,0.204,0.147,0.318,Ch1,Ch3,0
17409,0.147,0.161,0.405,0.287,Ch3,Ch1,0
17410,0.109,0.32,0.237,0.334,Ch4,Ch1,0
17411,0.287,0.108,0.357,0.248,Ch3,Ch2,0
17412,0.115,0.239,0.427,0.219,Ch3,Ch1,0
17413,0.199,0.386,0.23,0.185,Ch2,Ch2,1
17414,0.293,0.359,0.143,0.205,Ch2,Ch3,0
17415,0.122,0.522,0.133,0.223,Ch2,Ch3,0
17416,0.134,0.261,0.298,0.307,Ch4,Ch3,0
17417,0.252,0.291,0.26,0.197,Ch2,Ch1,0
17418,0.315,0.265,0.159,0.261,Ch1,Ch3,0
17419,0.173,0.403,0.126,0.298,Ch2,Ch3,0
17420,0.278,0.179,0.288,0.255,Ch3,Ch1,0
17421,0.369,0.124,0.269,0.238,Ch1,Ch2,0
17422,0.32,0.116,0.292,0.272,Ch1,Ch2,0
17423,0.318,0.142,0.177,0.363,Ch4,Ch2,0
17424,0.314,0.184,0.274,0.228,Ch1,Ch4,0
17425,0.135,0.364,0.227,0.274,Ch2,Ch2,1
17426,0.128,0.268,0.296,0.308,Ch4,Ch3,0
17427,0.181,0.472,0.109,0.238,Ch2,Ch4,0
17428,0.25,0.277,0.165,0.308,Ch4,Ch4,1
17429,0.363,0.187,0.199,0.251,Ch1,Ch1,1
17430,0.224,0.326,0.157,0.293,Ch2,Ch4,0
17431,0.182,0.214,0.305,0.299,Ch3,Ch4,0
17432,0.164,0.259,0.324,0.253,Ch3,Ch3,1
17433,0.29,0.257,0.146,0.307,Ch4,Ch4,1
17434,0.228,0.193,0.287,0.292,Ch4,Ch4,1
17435,0.177,0.214,0.336,0.273,Ch3,Ch4,0
17436,0.299,0.169,0.216,0.316,Ch4,Ch4,1
17437,0.405,0.188,0.157,0.25,Ch1,Ch1,1
17438,0.115,0.295,0.323,0.267,Ch3,Ch4,0
17439,0.344,0.311,0.113,0.232,Ch1,Ch1,1
17440,0.203,0.208,0.187,0.402,Ch4,Ch4,1
17441,0.156,0.419,0.139,0.286,Ch2,Ch4,0
17442,0.292,0.205,0.277,0.226,Ch1,Ch3,0
17443,0.293,0.325,0.112,0.27,Ch2,Ch4,0
17444,0.454,0.134,0.18,0.232,Ch1,Ch3,0
17445,0.225,0.192,0.348,0.235,Ch3,Ch3,1
17446,0.215,0.123,0.36,0.302,Ch3,Ch1,0
17447,0.147,0.268,0.161,0.424,Ch4,Ch4,1
17448,0.174,0.114,0.346,0.366,Ch4,Ch3,0
17449,0.309,0.361,0.112,0.218,Ch2,Ch2,1
17450,0.206,0.263,0.133,0.398,Ch4,Ch4,1
17451,0.139,0.226,0.156,0.479,Ch4,Ch4,1
17452,0.194,0.331,0.146,0.329,Ch2,Ch4,0
17453,0.139,0.504,0.092,0.265,Ch2,Ch4,0
17454,0.158,0.463,0.084,0.295,Ch2,Ch4,0
17455,0.255,0.186,0.174,0.385,Ch4,Ch4,1
17456,0.185,0.17,0.122,0.523,Ch4,Ch4,1
17457,0.111,0.446,0.104,0.339,Ch2,Ch4,0
17458,0.118,0.129,0.516,0.237,Ch3,Ch3,1
17459,0.121,0.107,0.432,0.34,Ch3,Ch3,1
17460,0.118,0.196,0.393,0.293,Ch3,Ch4,0
17461,0.155,0.428,0.13,0.287,Ch2,Ch4,0
17462,0.233,0.215,0.358,0.194,Ch3,Ch4,0
17463,0.346,0.132,0.28,0.242,Ch1,Ch1,1
17464,0.108,0.497,0.234,0.161,Ch2,Ch3,0
17465,0.549,0.201,0.073,0.177,Ch1,Ch1,1
17466,0.237,0.412,0.148,0.203,Ch2,Ch1,0
17467,0.369,0.162,0.096,0.373,Ch4,Ch1,0
17468,0.418,0.258,0.081,0.243,Ch1,Ch1,1
17469,0.118,0.309,0.254,0.319,Ch4,Ch4,1
17470,0.255,0.221,0.359,0.165,Ch3,Ch1,0
17471,0.106,0.439,0.068,0.387,Ch2,Ch2,1
17472,0.289,0.364,0.219,0.128,Ch2,Ch2,1
17473,0.139,0.337,0.086,0.438,Ch4,Ch4,1
17474,0.211,0.243,0.275,0.271,Ch3,Ch2,0
17475,0.215,0.255,0.243,0.287,Ch4,Ch2,0
17476,0.187,0.231,0.3,0.282,Ch3,Ch3,1
17477,0.298,0.394,0.138,0.17,Ch2,Ch2,1
17478,0.094,0.197,0.321,0.388,Ch4,Ch3,0
17479,0.098,0.254,0.327,0.321,Ch3,Ch3,1
17480,0.475,0.108,0.082,0.335,Ch1,Ch1,1
17481,0.366,0.236,0.229,0.169,Ch1,Ch2,0
17482,0.095,0.478,0.276,0.151,Ch2,Ch2,1
17483,0.335,0.086,0.415,0.164,Ch3,Ch3,1
17484,0.106,0.378,0.131,0.385,Ch4,Ch1,0
17485,0.108,0.201,0.428,0.263,Ch3,Ch3,1
17486,0.404,0.098,0.11,0.388,Ch1,Ch2,0
17487,0.142,0.307,0.141,0.41,Ch4,Ch2,0
17488,0.214,0.529,0.078,0.179,Ch2,Ch2,1
17489,0.138,0.489,0.122,0.251,Ch2,Ch2,1
17490,0.307,0.117,0.352,0.224,Ch3,Ch2,0
17491,0.092,0.34,0.413,0.155,Ch3,Ch2,0
17492,0.286,0.083,0.122,0.509,Ch4,Ch1,0
17493,0.397,0.096,0.121,0.386,Ch1,Ch1,1
17494,0.067,0.658,0.098,0.177,Ch2,Ch2,1
17495,0.289,0.11,0.35,0.251,Ch3,Ch3,1
17496,0.236,0.099,0.486,0.179,Ch3,Ch3,1
17497,0.355,0.285,0.104,0.256,Ch1,Ch1,1
17498,0.424,0.223,0.124,0.229,Ch1,Ch1,1
17499,0.089,0.259,0.092,0.56,Ch4,Ch2,0
17500,0.199,0.395,0.144,0.262,Ch2,Ch2,1
17501,0.14,0.18,0.478,0.202,Ch3,Ch2,0
17502,0.151,0.283,0.204,0.362,Ch4,Ch3,0
17503,0.267,0.294,0.167,0.272,Ch2,Ch2,1
17504,0.137,0.295,0.246,0.322,Ch4,Ch2,0
17505,0.117,0.159,0.35,0.374,Ch4,Ch2,0
17506,0.411,0.143,0.215,0.231,Ch1,Ch3,0
17507,0.298,0.13,0.187,0.385,Ch4,Ch3,0
17508,0.15,0.123,0.425,0.302,Ch3,Ch3,1
17509,0.337,0.123,0.173,0.367,Ch4,Ch3,0
17510,0.155,0.216,0.175,0.454,Ch4,Ch2,0
17511,0.21,0.424,0.15,0.216,Ch2,Ch2,1
17512,0.339,0.135,0.17,0.356,Ch4,Ch1,0
17513,0.146,0.153,0.159,0.542,Ch4,Ch3,0
17514,0.111,0.378,0.126,0.385,Ch4,Ch1,0
17515,0.254,0.224,0.153,0.369,Ch4,Ch2,0
17516,0.38,0.142,0.27,0.208,Ch1,Ch3,0
17517,0.119,0.459,0.231,0.191,Ch2,Ch1,0
17518,0.12,0.105,0.347,0.428,Ch4,Ch3,0
17519,0.106,0.138,0.38,0.376,Ch3,Ch4,0
17520,0.233,0.145,0.351,0.271,Ch3,Ch2,0
17521,0.079,0.282,0.451,0.188,Ch3,Ch2,0
17522,0.132,0.417,0.194,0.257,Ch2,Ch3,0
17523,0.079,0.296,0.445,0.18,Ch3,Ch4,0
17524,0.357,0.136,0.252,0.255,Ch1,Ch1,1
17525,0.31,0.183,0.238,0.269,Ch1,Ch4,0
17526,0.115,0.189,0.395,0.301,Ch3,Ch2,0
17527,0.142,0.448,0.154,0.256,Ch2,Ch4,0
17528,0.097,0.445,0.212,0.246,Ch2,Ch4,0
17529,0.125,0.123,0.227,0.525,Ch4,Ch2,0
17530,0.421,0.113,0.2,0.266,Ch1,Ch3,0
17531,0.564,0.112,0.084,0.24,Ch1,Ch4,0
17532,0.463,0.192,0.098,0.247,Ch1,Ch4,0
17533,0.094,0.473,0.143,0.29,Ch2,Ch2,1
17534,0.1,0.123,0.494,0.283,Ch3,Ch3,1
17535,0.421,0.124,0.106,0.349,Ch1,Ch4,0
17536,0.213,0.511,0.082,0.194,Ch2,Ch2,1
17537,0.111,0.226,0.137,0.526,Ch4,Ch3,0
17538,0.266,0.225,0.227,0.282,Ch4,Ch3,0
17539,0.111,0.406,0.284,0.199,Ch2,Ch3,0
17540,0.164,0.209,0.201,0.426,Ch4,Ch3,0
17541,0.17,0.394,0.206,0.23,Ch2,Ch2,1
17542,0.111,0.319,0.257,0.313,Ch2,Ch2,1
17543,0.243,0.113,0.322,0.322,Ch3,Ch1,0
17544,0.111,0.256,0.391,0.242,Ch3,Ch3,1
17545,0.417,0.141,0.143,0.299,Ch1,Ch1,1
17546,0.316,0.227,0.134,0.323,Ch4,Ch1,0
17547,0.425,0.245,0.111,0.219,Ch1,Ch1,1
17548,0.196,0.211,0.154,0.439,Ch4,Ch1,0
17549,0.155,0.387,0.111,0.347,Ch2,Ch1,0
17550,0.278,0.141,0.191,0.39,Ch4,Ch1,0
17551,0.222,0.316,0.115,0.347,Ch4,Ch2,0
17552,0.138,0.237,0.202,0.423,Ch4,Ch3,0
17553,0.169,0.339,0.186,0.306,Ch2,Ch2,1
17554,0.181,0.144,0.276,0.399,Ch4,Ch3,0
17555,0.243,0.182,0.179,0.396,Ch4,Ch3,0
17556,0.124,0.227,0.344,0.305,Ch3,Ch3,1
17557,0.246,0.147,0.323,0.284,Ch3,Ch1,0
17558,0.433,0.142,0.152,0.273,Ch1,Ch1,1
17559,0.173,0.217,0.192,0.418,Ch4,Ch4,1
17560,0.39,0.17,0.161,0.279,Ch1,Ch1,1
17561,0.144,0.379,0.148,0.329,Ch2,Ch2,1
17562,0.131,0.258,0.264,0.347,Ch4,Ch4,1
17563,0.3,0.165,0.179,0.356,Ch4,Ch1,0
17564,0.161,0.295,0.241,0.303,Ch4,Ch2,0
17565,0.228,0.142,0.399,0.231,Ch3,Ch3,1
17566,0.158,0.152,0.401,0.289,Ch3,Ch4,0
17567,0.25,0.198,0.183,0.369,Ch4,Ch3,0
17568,0.284,0.403,0.136,0.177,Ch2,Ch2,1
17569,0.155,0.192,0.466,0.187,Ch3,Ch3,1
17570,0.137,0.432,0.154,0.277,Ch2,Ch2,1
17571,0.234,0.247,0.196,0.323,Ch4,Ch4,1
17572,0.451,0.188,0.182,0.179,Ch1,Ch1,1
17573,0.154,0.543,0.106,0.197,Ch2,Ch2,1
17574,0.196,0.179,0.324,0.301,Ch3,Ch4,0
17575,0.131,0.162,0.326,0.381,Ch4,Ch3,0
17576,0.101,0.267,0.263,0.369,Ch4,Ch1,0
17577,0.083,0.25,0.344,0.323,Ch3,Ch4,0
17578,0.489,0.305,0.089,0.117,Ch1,Ch1,1
17579,0.357,0.116,0.193,0.334,Ch1,Ch4,0
17580,0.328,0.19,0.112,0.37,Ch4,Ch4,1
17581,0.225,0.319,0.133,0.323,Ch4,Ch4,1
17582,0.277,0.218,0.336,0.169,Ch3,Ch4,0
17583,0.084,0.386,0.239,0.291,Ch2,Ch1,0
17584,0.104,0.195,0.545,0.156,Ch3,Ch1,0
17585,0.243,0.363,0.252,0.142,Ch2,Ch4,0
17586,0.166,0.13,0.373,0.331,Ch3,Ch4,0
17587,0.129,0.351,0.218,0.302,Ch2,Ch1,0
17588,0.428,0.122,0.171,0.279,Ch1,Ch1,1
17589,0.333,0.397,0.089,0.181,Ch2,Ch4,0
17590,0.343,0.39,0.088,0.179,Ch2,Ch3,0
17591,0.131,0.22,0.121,0.528,Ch4,Ch4,1
17592,0.466,0.115,0.122,0.297,Ch1,Ch4,0
17593,0.095,0.364,0.399,0.142,Ch3,Ch1,0
17594,0.203,0.119,0.362,0.316,Ch3,Ch4,0
17595,0.279,0.138,0.202,0.381,Ch4,Ch4,1
17596,0.246,0.338,0.156,0.26,Ch2,Ch4,0
17597,0.238,0.35,0.179,0.233,Ch2,Ch1,0
17598,0.204,0.374,0.147,0.275,Ch2,Ch4,0
17599,0.339,0.213,0.153,0.295,Ch1,Ch4,0
17600,0.155,0.26,0.194,0.391,Ch4,Ch4,1
17601,0.124,0.435,0.159,0.282,Ch2,Ch2,1
17602,0.144,0.158,0.322,0.376,Ch4,Ch4,1
17603,0.167,0.265,0.155,0.413,Ch4,Ch4,1
17604,0.268,0.24,0.304,0.188,Ch3,Ch1,0
17605,0.273,0.178,0.292,0.257,Ch3,Ch3,1
17606,0.114,0.402,0.148,0.336,Ch2,Ch2,1
17607,0.171,0.442,0.114,0.273,Ch2,Ch2,1
17608,0.143,0.178,0.406,0.273,Ch3,Ch4,0
17609,0.147,0.354,0.192,0.307,Ch2,Ch2,1
17610,0.109,0.342,0.325,0.224,Ch2,Ch4,0
17611,0.18,0.296,0.313,0.211,Ch3,Ch3,1
17612,0.173,0.15,0.384,0.293,Ch3,Ch4,0
17613,0.151,0.365,0.224,0.26,Ch2,Ch2,1
17614,0.142,0.124,0.512,0.222,Ch3,Ch3,1
17615,0.129,0.248,0.384,0.239,Ch3,Ch4,0
17616,0.335,0.134,0.236,0.295,Ch1,Ch4,0
17617,0.278,0.45,0.094,0.178,Ch2,Ch2,1
17618,0.123,0.141,0.431,0.305,Ch3,Ch4,0
17619,0.119,0.376,0.152,0.353,Ch2,Ch4,0
17620,0.151,0.501,0.097,0.251,Ch2,Ch2,1
17621,0.124,0.217,0.442,0.217,Ch3,Ch4,0
17622,0.154,0.207,0.148,0.491,Ch4,Ch4,1
17623,0.148,0.165,0.175,0.512,Ch4,Ch4,1
17624,0.145,0.127,0.439,0.289,Ch3,Ch4,0
17625,0.144,0.149,0.446,0.261,Ch3,Ch3,1
17626,0.164,0.17,0.134,0.532,Ch4,Ch4,1
17627,0.16,0.508,0.098,0.234,Ch2,Ch2,1
17628,0.437,0.267,0.108,0.188,Ch1,Ch4,0
17629,0.136,0.401,0.12,0.343,Ch2,Ch4,0
17630,0.134,0.327,0.143,0.396,Ch4,Ch4,1
17631,0.164,0.152,0.151,0.533,Ch4,Ch4,1
17632,0.31,0.113,0.193,0.384,Ch4,Ch4,1
17633,0.08,0.275,0.417,0.228,Ch3,Ch2,0
17634,0.389,0.295,0.119,0.197,Ch1,Ch2,0
17635,0.246,0.111,0.202,0.441,Ch4,Ch1,0
17636,0.119,0.227,0.142,0.512,Ch4,Ch2,0
17637,0.121,0.362,0.133,0.384,Ch4,Ch1,0
17638,0.079,0.25,0.254,0.417,Ch4,Ch3,0
17639,0.193,0.138,0.278,0.391,Ch4,Ch2,0
17640,0.114,0.301,0.165,0.42,Ch4,Ch3,0
17641,0.089,0.255,0.227,0.429,Ch4,Ch2,0
17642,0.13,0.272,0.136,0.462,Ch4,Ch1,0
17643,0.135,0.252,0.228,0.385,Ch4,Ch1,0
17644,0.087,0.129,0.545,0.239,Ch3,Ch1,0
17645,0.091,0.118,0.311,0.48,Ch4,Ch3,0
17646,0.101,0.198,0.26,0.441,Ch4,Ch2,0
17647,0.08,0.443,0.253,0.224,Ch2,Ch2,1
17648,0.269,0.157,0.172,0.402,Ch4,Ch1,0
17649,0.266,0.132,0.174,0.428,Ch4,Ch3,0
17650,0.132,0.108,0.321,0.439,Ch4,Ch3,0
17651,0.198,0.167,0.171,0.464,Ch4,Ch3,0
17652,0.098,0.128,0.506,0.268,Ch3,Ch3,1
17653,0.508,0.206,0.083,0.203,Ch1,Ch1,1
17654,0.122,0.197,0.183,0.498,Ch4,Ch4,1
17655,0.273,0.191,0.13,0.406,Ch4,Ch2,0
17656,0.17,0.14,0.129,0.561,Ch4,Ch1,0
17657,0.076,0.503,0.204,0.217,Ch2,Ch2,1
17658,0.101,0.1,0.361,0.438,Ch4,Ch3,0
17659,0.095,0.205,0.313,0.387,Ch4,Ch4,1
17660,0.158,0.137,0.175,0.53,Ch4,Ch1,0
17661,0.141,0.2,0.121,0.538,Ch4,Ch1,0
17662,0.101,0.123,0.328,0.448,Ch4,Ch2,0
17663,0.071,0.563,0.165,0.201,Ch2,Ch2,1
17664,0.136,0.17,0.192,0.502,Ch4,Ch3,0
17665,0.131,0.19,0.283,0.396,Ch4,Ch2,0
17666,0.097,0.413,0.304,0.186,Ch2,Ch3,0
17667,0.155,0.319,0.147,0.379,Ch4,Ch3,0
17668,0.07,0.245,0.285,0.4,Ch4,Ch3,0
17669,0.265,0.171,0.093,0.471,Ch4,Ch2,0
17670,0.247,0.082,0.173,0.498,Ch4,Ch1,0
17671,0.069,0.162,0.476,0.293,Ch3,Ch1,0
17672,0.12,0.101,0.536,0.243,Ch3,Ch3,1
17673,0.269,0.091,0.37,0.27,Ch3,Ch1,0
17674,0.518,0.111,0.119,0.252,Ch1,Ch2,0
17675,0.165,0.502,0.094,0.239,Ch2,Ch2,1
17676,0.088,0.117,0.443,0.352,Ch3,Ch3,1
17677,0.267,0.336,0.095,0.302,Ch2,Ch2,1
17678,0.103,0.16,0.432,0.305,Ch3,Ch3,1
17679,0.531,0.097,0.227,0.145,Ch1,Ch1,1
17680,0.091,0.129,0.412,0.368,Ch3,Ch2,0
17681,0.096,0.333,0.298,0.273,Ch2,Ch3,0
17682,0.307,0.341,0.078,0.274,Ch2,Ch1,0
17683,0.152,0.066,0.589,0.193,Ch3,Ch3,1
17684,0.135,0.293,0.303,0.269,Ch3,Ch1,0
17685,0.229,0.11,0.277,0.384,Ch4,Ch3,0
17686,0.29,0.123,0.114,0.473,Ch4,Ch2,0
17687,0.084,0.557,0.078,0.281,Ch2,Ch2,1
17688,0.132,0.473,0.104,0.291,Ch2,Ch3,0
17689,0.118,0.328,0.12,0.434,Ch4,Ch3,0
17690,0.126,0.303,0.263,0.308,Ch4,Ch3,0
17691,0.184,0.294,0.147,0.375,Ch4,Ch1,0
17692,0.197,0.171,0.253,0.379,Ch4,Ch1,0
17693,0.213,0.245,0.166,0.376,Ch4,Ch3,0
17694,0.136,0.261,0.144,0.459,Ch4,Ch2,0
17695,0.361,0.149,0.132,0.358,Ch1,Ch3,0
17696,0.205,0.34,0.121,0.334,Ch2,Ch1,0
17697,0.235,0.476,0.086,0.203,Ch2,Ch1,0
17698,0.478,0.159,0.127,0.236,Ch1,Ch1,1
17699,0.107,0.336,0.141,0.416,Ch4,Ch2,0
17700,0.132,0.154,0.341,0.373,Ch4,Ch3,0
17701,0.165,0.142,0.315,0.378,Ch4,Ch2,0
