Task,Ch1,Ch2,Ch3,Ch4,test,,Ch1,Ch2,Ch3,Ch4,,
4,0.404,0.316,0.152,0.128,Ch1,,0,0,1,0,Ch3,0
5,0.344,0.344,0.182,0.13,Ch1,,1,0,0,0,Ch1,1
6,0.292,0.358,0.22,0.13,Ch2,,0,0,1,0,Ch3,0
7,0.166,0.252,0.422,0.16,Ch3,,0,0,1,0,Ch3,1
7,0.204,0.236,0.406,0.154,Ch3,,0,0,1,0,Ch3,1
9,0.498,0.236,0.154,0.112,Ch1,,1,0,0,0,Ch1,1
13,0.182,0.64,0.024,0.154,Ch2,,0,0,1,0,Ch3,0
15,0.214,0.586,0.014,0.186,Ch2,,0,0,0,1,Ch4,0
16,0.418,0.288,0.19,0.104,Ch1,,1,0,0,0,Ch1,1
17,0.152,0.412,0.204,0.232,Ch2,,0,0,1,0,Ch3,0
17,0.182,0.386,0.212,0.22,Ch2,,0,0,1,0,Ch3,0
17,0.22,0.35,0.206,0.224,Ch2,,0,0,1,0,Ch3,0
17,0.264,0.518,0.018,0.2,Ch2,,0,0,1,0,Ch3,0
18,0.144,0.556,0.112,0.188,Ch2,,0,1,0,0,Ch2,1
19,0.178,0.27,0.148,0.404,Ch4,,0,0,0,1,Ch4,1
1,0.15,0.176,0.516,0.158,Ch3,,0,0,1,0,Ch3,1
3,0.148,0.508,0.168,0.176,Ch2,,0,1,0,0,Ch2,1
3,0.048,0.126,0.422,0.404,Ch3,,0,1,0,0,Ch2,0
4,0.142,0.554,0.14,0.164,Ch2,,0,1,0,0,Ch2,1
4,0.064,0.146,0.46,0.33,Ch3,,0,1,0,0,Ch2,0
5,0.166,0.282,0.33,0.222,Ch3,,0,0,1,0,Ch3,1
5,0.198,0.312,0.302,0.188,Ch2,,0,0,1,0,Ch3,0
5,0.158,0.31,0.382,0.15,Ch3,,0,0,1,0,Ch3,1
6,0.118,0.16,0.246,0.476,Ch4,,0,0,0,1,Ch4,1
7,0.124,0.494,0.24,0.142,Ch2,,0,1,0,0,Ch2,1
7,0.04,0.134,0.456,0.37,Ch3,,0,1,0,0,Ch2,0
10,0.328,0.196,0.302,0.174,Ch1,,1,0,0,0,Ch1,1
10,0.358,0.186,0.278,0.178,Ch1,,1,0,0,0,Ch1,1
11,0.128,0.208,0.478,0.186,Ch3,,1,0,0,0,Ch1,0
13,0.112,0.214,0.54,0.134,Ch3,,0,0,1,0,Ch3,1
14,0.13,0.446,0.232,0.192,Ch2,,0,1,0,0,Ch2,1
15,0.166,0.47,0.248,0.116,Ch2,,0,1,0,0,Ch2,1
16,0.126,0.482,0.24,0.152,Ch2,,0,1,0,0,Ch2,1
18,0.11,0.306,0.45,0.134,Ch3,,0,0,1,0,Ch3,1
18,0.032,0.564,0.296,0.108,Ch2,,0,0,1,0,Ch3,0
1,0.512,0.21,0.126,0.152,Ch1,,0,0,1,0,Ch3,0
2,0.47,0.178,0.162,0.19,Ch1,,1,0,0,0,Ch1,1
2,0.538,0.228,0.084,0.15,Ch1,,1,0,0,0,Ch1,1
10,0.418,0.206,0.136,0.24,Ch1,,1,0,0,0,Ch1,1
10,0.084,0.582,0.1,0.234,Ch2,,1,0,0,0,Ch1,0
11,0.126,0.176,0.122,0.576,Ch4,,0,0,0,1,Ch4,1
11,0.082,0.522,0.17,0.226,Ch2,,0,0,0,1,Ch4,0
12,0.202,0.188,0.37,0.24,Ch3,,0,0,1,0,Ch3,1
12,0.13,0.256,0.358,0.256,Ch3,,0,0,1,0,Ch3,1
13,0.078,0.524,0.188,0.21,Ch2,,1,0,0,0,Ch1,0
14,0.168,0.498,0.142,0.192,Ch2,,0,1,0,0,Ch2,1
15,0.076,0.582,0.128,0.214,Ch2,,0,1,0,0,Ch2,1
18,0.242,0.366,0.204,0.188,Ch2,,1,0,0,0,Ch1,0
18,0.22,0.376,0.196,0.208,Ch2,,1,0,0,0,Ch1,0
18,0.256,0.312,0.182,0.25,Ch2,,1,0,0,0,Ch1,0
2,0.166,0.208,0.5,0.126,Ch3,,0,0,1,0,Ch3,1
4,0.176,0.218,0.468,0.138,Ch3,,0,0,1,0,Ch3,1
7,0.122,0.58,0.176,0.122,Ch2,,0,1,0,0,Ch2,1
12,0.082,0.212,0.566,0.14,Ch3,,0,0,1,0,Ch3,1
14,0.18,0.454,0.146,0.22,Ch2,,0,1,0,0,Ch2,1
14,0.23,0.422,0.142,0.206,Ch2,,0,1,0,0,Ch2,1
15,0.318,0.5,0.088,0.094,Ch2,,0,0,1,0,Ch3,0
16,0.488,0.174,0.142,0.196,Ch1,,1,0,0,0,Ch1,1
18,0.556,0.186,0.124,0.134,Ch1,,1,0,0,0,Ch1,1
1,0.102,0.16,0.65,0.088,Ch3,,0,0,1,0,Ch3,1
3,0.152,0.12,0.58,0.148,Ch3,,0,0,1,0,Ch3,1
4,0.146,0.478,0.246,0.13,Ch2,,0,1,0,0,Ch2,1
4,0.218,0.226,0.456,0.1,Ch3,,0,1,0,0,Ch2,0
5,0.532,0.188,0.186,0.094,Ch1,,1,0,0,0,Ch1,1
5,0.216,0.334,0.33,0.12,Ch2,,1,0,0,0,Ch1,0
8,0.158,0.256,0.444,0.142,Ch3,,0,0,1,0,Ch3,1
9,0.162,0.496,0.194,0.148,Ch2,,0,1,0,0,Ch2,1
10,0.136,0.23,0.512,0.122,Ch3,,0,0,1,0,Ch3,1
11,0.132,0.58,0.14,0.148,Ch2,,0,1,0,0,Ch2,1
11,0.148,0.422,0.3,0.13,Ch2,,0,1,0,0,Ch2,1
12,0.222,0.456,0.192,0.13,Ch2,,0,1,0,0,Ch2,1
12,0.22,0.486,0.162,0.132,Ch2,,0,1,0,0,Ch2,1
13,0.596,0.136,0.13,0.138,Ch1,,1,0,0,0,Ch1,1
14,0.184,0.462,0.154,0.2,Ch2,,0,1,0,0,Ch2,1
15,0.246,0.406,0.224,0.124,Ch2,,0,1,0,0,Ch2,1
16,0.54,0.19,0.118,0.152,Ch1,,1,0,0,0,Ch1,1
17,0.188,0.28,0.386,0.146,Ch3,,0,0,1,0,Ch3,1
17,0.21,0.272,0.366,0.152,Ch3,,0,0,1,0,Ch3,1
19,0.184,0.2,0.534,0.082,Ch3,,0,0,1,0,Ch3,1
1,0.554,0.086,0.25,0.11,Ch1,,1,0,0,0,Ch1,1
2,0.614,0.156,0.138,0.092,Ch1,,1,0,0,0,Ch1,1
4,0.264,0.18,0.368,0.188,Ch3,,0,0,1,0,Ch3,1
4,0.308,0.162,0.34,0.19,Ch3,,0,0,1,0,Ch3,1
5,0.52,0.176,0.13,0.174,Ch1,,1,0,0,0,Ch1,1
6,0.184,0.136,0.526,0.154,Ch3,,0,0,1,0,Ch3,1
8,0.128,0.142,0.392,0.338,Ch3,,0,0,1,0,Ch3,1
8,0.168,0.184,0.338,0.31,Ch3,,0,0,1,0,Ch3,1
10,0.108,0.148,0.182,0.562,Ch4,,0,0,0,1,Ch4,1
11,0.124,0.158,0.114,0.604,Ch4,,0,0,0,1,Ch4,1
13,0.092,0.176,0.15,0.582,Ch4,,0,0,0,1,Ch4,1
13,0.144,0.17,0.12,0.566,Ch4,,0,0,0,1,Ch4,1
14,0.076,0.108,0.122,0.694,Ch4,,0,0,0,1,Ch4,1
15,0.108,0.176,0.134,0.582,Ch4,,0,0,0,1,Ch4,1
17,0.16,0.31,0.22,0.31,Ch2,,0,1,0,0,Ch2,1
1,0.204,0.204,0.468,0.124,Ch3,,1,0,0,0,Ch1,0
2,0.184,0.168,0.516,0.132,Ch3,,0,0,1,0,Ch3,1
3,0.144,0.144,0.592,0.12,Ch3,,0,0,1,0,Ch3,1
4,0.184,0.458,0.224,0.134,Ch2,,0,1,0,0,Ch2,1
9,0.164,0.594,0.13,0.112,Ch2,,0,1,0,0,Ch2,1
9,0.27,0.382,0.134,0.214,Ch2,,0,1,0,0,Ch2,1
11,0.156,0.128,0.188,0.528,Ch4,,0,0,0,1,Ch4,1
12,0.208,0.236,0.182,0.374,Ch4,,0,0,0,1,Ch4,1
13,0.152,0.494,0.236,0.118,Ch2,,0,1,0,0,Ch2,1
13,0.084,0.256,0.212,0.448,Ch4,,0,1,0,0,Ch2,0
15,0.182,0.472,0.164,0.182,Ch2,,0,1,0,0,Ch2,1
17,0.07,0.216,0.284,0.43,Ch4,,1,0,0,0,Ch1,0
18,0.158,0.098,0.208,0.536,Ch4,,0,0,0,1,Ch4,1
1,0.574,0.15,0.156,0.12,Ch1,,1,0,0,0,Ch1,1
2,0.2,0.458,0.134,0.208,Ch2,,0,1,0,0,Ch2,1
4,0.422,0.202,0.188,0.188,Ch1,,1,0,0,0,Ch1,1
5,0.148,0.09,0.154,0.608,Ch4,,0,0,0,1,Ch4,1
6,0.13,0.09,0.256,0.524,Ch4,,0,0,0,1,Ch4,1
7,0.436,0.136,0.18,0.248,Ch1,,1,0,0,0,Ch1,1
7,0.464,0.136,0.156,0.244,Ch1,,1,0,0,0,Ch1,1
7,0.116,0.082,0.256,0.546,Ch4,,1,0,0,0,Ch1,0
8,0.15,0.158,0.148,0.544,Ch4,,0,0,0,1,Ch4,1
12,0.1,0.09,0.61,0.2,Ch3,,0,1,0,0,Ch2,0
13,0.138,0.128,0.642,0.092,Ch3,,0,0,1,0,Ch3,1
14,0.118,0.144,0.162,0.576,Ch4,,0,0,0,1,Ch4,1
15,0.22,0.134,0.39,0.256,Ch3,,0,1,0,0,Ch2,0
16,0.498,0.128,0.192,0.182,Ch1,,1,0,0,0,Ch1,1
17,0.184,0.478,0.232,0.106,Ch2,,0,1,0,0,Ch2,1
17,0.178,0.364,0.238,0.22,Ch2,,0,1,0,0,Ch2,1
18,0.122,0.162,0.428,0.288,Ch3,,0,0,1,0,Ch3,1
19,0.408,0.194,0.214,0.184,Ch1,,1,0,0,0,Ch1,1
19,0.332,0.238,0.182,0.248,Ch1,,1,0,0,0,Ch1,1
1,0.27,0.4,0.218,0.112,Ch2,,0,1,0,0,Ch2,1
1,0.252,0.102,0.528,0.118,Ch3,,0,1,0,0,Ch2,0
3,0.112,0.144,0.622,0.122,Ch3,,0,0,1,0,Ch3,1
5,0.328,0.206,0.3,0.166,Ch1,,0,0,1,0,Ch3,0
5,0.228,0.292,0.346,0.134,Ch3,,0,0,1,0,Ch3,1
6,0.38,0.328,0.164,0.128,Ch1,,1,0,0,0,Ch1,1
8,0.198,0.29,0.39,0.122,Ch3,,0,0,1,0,Ch3,1
13,0.46,0.186,0.194,0.16,Ch1,,0,1,0,0,Ch2,0
14,0.556,0.144,0.144,0.156,Ch1,,0,0,1,0,Ch3,0
15,0.468,0.16,0.25,0.122,Ch1,,1,0,0,0,Ch1,1
16,0.71,0.066,0.068,0.156,Ch1,,1,0,0,0,Ch1,1
18,0.484,0.18,0.172,0.164,Ch1,,1,0,0,0,Ch1,1
1,0.684,0.11,0.126,0.08,Ch1,,1,0,0,0,Ch1,1
2,0.536,0.082,0.272,0.11,Ch1,,0,1,0,0,Ch2,0
3,0.148,0.132,0.566,0.154,Ch3,,0,0,1,0,Ch3,1
3,0.466,0.058,0.372,0.104,Ch1,,0,0,1,0,Ch3,0
4,0.214,0.14,0.476,0.17,Ch3,,0,0,1,0,Ch3,1
5,0.616,0.116,0.174,0.094,Ch1,,1,0,0,0,Ch1,1
6,0.492,0.126,0.26,0.122,Ch1,,1,0,0,0,Ch1,1
10,0.264,0.388,0.222,0.126,Ch2,,0,1,0,0,Ch2,1
10,0.436,0.122,0.316,0.126,Ch1,,0,1,0,0,Ch2,0
12,0.314,0.122,0.43,0.134,Ch3,,0,0,1,0,Ch3,1
12,0.378,0.144,0.356,0.122,Ch1,,0,0,1,0,Ch3,0
15,0.532,0.044,0.302,0.122,Ch1,,0,0,1,0,Ch3,0
16,0.6,0.11,0.138,0.152,Ch1,,1,0,0,0,Ch1,1
17,0.186,0.156,0.504,0.154,Ch3,,0,0,1,0,Ch3,1
17,0.22,0.168,0.462,0.15,Ch3,,0,0,1,0,Ch3,1
18,0.42,0.05,0.386,0.144,Ch1,,1,0,0,0,Ch1,1
19,0.434,0.052,0.348,0.166,Ch1,,1,0,0,0,Ch1,1
1,0.102,0.156,0.176,0.566,Ch4,,0,0,0,1,Ch4,1
2,0.19,0.16,0.154,0.496,Ch4,,0,0,0,1,Ch4,1
2,0.054,0.07,0.042,0.834,Ch4,,0,0,0,1,Ch4,1
3,0.154,0.106,0.12,0.62,Ch4,,0,0,0,1,Ch4,1
4,0.134,0.122,0.12,0.624,Ch4,,0,0,0,1,Ch4,1
5,0.192,0.126,0.18,0.502,Ch4,,0,0,0,1,Ch4,1
7,0.182,0.104,0.056,0.658,Ch4,,0,0,0,1,Ch4,1
7,0.032,0.028,0.012,0.928,Ch4,,0,0,0,1,Ch4,1
10,0.104,0.09,0.162,0.644,Ch4,,0,0,0,1,Ch4,1
10,0.112,0.172,0.318,0.398,Ch4,,0,0,0,1,Ch4,1
12,0.124,0.13,0.082,0.664,Ch4,,0,0,0,1,Ch4,1
14,0.106,0.118,0.168,0.608,Ch4,,0,0,0,1,Ch4,1
15,0.126,0.194,0.126,0.554,Ch4,,0,0,0,1,Ch4,1
17,0.02,0.058,0.024,0.898,Ch4,,0,0,0,1,Ch4,1
18,0.132,0.11,0.132,0.626,Ch4,,0,0,0,1,Ch4,1
18,0.164,0.144,0.1,0.592,Ch4,,0,0,0,1,Ch4,1
1,0.284,0.178,0.2,0.338,Ch4,,1,0,0,0,Ch1,0
1,0.35,0.18,0.244,0.226,Ch1,,1,0,0,0,Ch1,1
2,0.17,0.084,0.128,0.618,Ch4,,0,0,0,1,Ch4,1
3,0.16,0.106,0.342,0.392,Ch4,,0,0,1,0,Ch3,0
3,0.164,0.19,0.342,0.304,Ch3,,0,0,1,0,Ch3,1
9,0.38,0.236,0.168,0.216,Ch1,,1,0,0,0,Ch1,1
9,0.062,0.068,0.096,0.774,Ch4,,1,0,0,0,Ch1,0
10,0.166,0.176,0.186,0.472,Ch4,,0,0,1,0,Ch3,0
10,0.188,0.118,0.188,0.506,Ch4,,0,0,1,0,Ch3,0
10,0.192,0.208,0.212,0.388,Ch4,,0,0,1,0,Ch3,0
11,0.044,0.104,0.154,0.698,Ch4,,0,0,0,1,Ch4,1
12,0.156,0.276,0.152,0.416,Ch4,,0,1,0,0,Ch2,0
13,0.03,0.14,0.092,0.738,Ch4,,0,0,0,1,Ch4,1
14,0.166,0.222,0.146,0.466,Ch4,,0,0,0,1,Ch4,1
14,0.136,0.15,0.116,0.598,Ch4,,0,0,0,1,Ch4,1
15,0.116,0.182,0.378,0.324,Ch3,,0,0,1,0,Ch3,1
15,0.022,0.066,0.094,0.818,Ch4,,0,0,1,0,Ch3,0
16,0.09,0.364,0.222,0.324,Ch2,,0,1,0,0,Ch2,1
16,0.02,0.054,0.104,0.822,Ch4,,0,1,0,0,Ch2,0
2,0.204,0.484,0.218,0.094,Ch2,,1,0,0,0,Ch1,0
7,0.206,0.234,0.362,0.198,Ch3,,0,0,1,0,Ch3,1
7,0.16,0.27,0.354,0.216,Ch3,,0,0,1,0,Ch3,1
8,0.154,0.506,0.152,0.188,Ch2,,0,1,0,0,Ch2,1
8,0.21,0.294,0.274,0.222,Ch2,,0,1,0,0,Ch2,1
10,0.172,0.474,0.184,0.17,Ch2,,0,1,0,0,Ch2,1
10,0.142,0.382,0.202,0.274,Ch2,,0,1,0,0,Ch2,1
13,0.118,0.524,0.144,0.214,Ch2,,0,1,0,0,Ch2,1
14,0.13,0.166,0.554,0.15,Ch3,,0,0,1,0,Ch3,1
16,0.144,0.21,0.448,0.198,Ch3,,0,0,1,0,Ch3,1
17,0.466,0.222,0.09,0.222,Ch1,,1,0,0,0,Ch1,1
18,0.208,0.206,0.182,0.404,Ch4,,0,0,0,1,Ch4,1
19,0.184,0.152,0.158,0.506,Ch4,,0,0,0,1,Ch4,1
2,0.118,0.162,0.5,0.22,Ch3,,0,0,1,0,Ch3,1
4,0.066,0.19,0.542,0.202,Ch3,,0,0,0,1,Ch4,0
5,0.07,0.218,0.414,0.298,Ch3,,0,0,0,1,Ch4,0
7,0.162,0.472,0.13,0.236,Ch2,,0,1,0,0,Ch2,1
11,0.184,0.228,0.086,0.502,Ch4,,0,0,0,1,Ch4,1
14,0.194,0.352,0.162,0.292,Ch2,,0,1,0,0,Ch2,1
15,0.132,0.272,0.172,0.424,Ch4,,0,1,0,0,Ch2,0
15,0.156,0.328,0.172,0.344,Ch4,,0,1,0,0,Ch2,0
17,0.122,0.152,0.134,0.592,Ch4,,0,0,0,1,Ch4,1
18,0.142,0.402,0.148,0.308,Ch2,,0,1,0,0,Ch2,1
19,0.098,0.362,0.106,0.434,Ch4,,0,0,0,1,Ch4,1
3,0.28,0.238,0.326,0.156,Ch3,,0,0,1,0,Ch3,1
3,0.158,0.298,0.402,0.142,Ch3,,0,0,1,0,Ch3,1
4,0.138,0.612,0.116,0.134,Ch2,,0,1,0,0,Ch2,1
5,0.14,0.494,0.194,0.172,Ch2,,0,1,0,0,Ch2,1
5,0.276,0.404,0.096,0.224,Ch2,,0,1,0,0,Ch2,1
6,0.424,0.226,0.186,0.164,Ch1,,1,0,0,0,Ch1,1
7,0.338,0.262,0.14,0.26,Ch1,,0,0,0,1,Ch4,0
9,0.5,0.172,0.118,0.21,Ch1,,1,0,0,0,Ch1,1
10,0.424,0.232,0.148,0.196,Ch1,,1,0,0,0,Ch1,1
10,0.384,0.312,0.036,0.268,Ch1,,1,0,0,0,Ch1,1
11,0.17,0.466,0.114,0.25,Ch2,,0,1,0,0,Ch2,1
12,0.196,0.484,0.026,0.294,Ch2,,0,1,0,0,Ch2,1
13,0.182,0.492,0.02,0.306,Ch2,,0,1,0,0,Ch2,1
14,0.176,0.548,0.148,0.128,Ch2,,0,1,0,0,Ch2,1
15,0.158,0.174,0.106,0.562,Ch4,,0,0,0,1,Ch4,1
16,0.182,0.49,0.122,0.206,Ch2,,0,1,0,0,Ch2,1
19,0.162,0.278,0.332,0.228,Ch3,,0,0,1,0,Ch3,1
19,0.196,0.284,0.378,0.142,Ch3,,0,0,1,0,Ch3,1
19,0.304,0.284,0.042,0.37,Ch4,,0,0,1,0,Ch3,0
1,0.176,0.464,0.194,0.166,Ch2,,0,1,0,0,Ch2,1
2,0.218,0.298,0.28,0.204,Ch2,,0,0,1,0,Ch3,0
5,0.412,0.134,0.196,0.258,Ch1,,1,0,0,0,Ch1,1
8,0.08,0.128,0.27,0.522,Ch4,,0,0,0,1,Ch4,1
9,0.138,0.156,0.196,0.51,Ch4,,0,0,0,1,Ch4,1
11,0.14,0.128,0.144,0.588,Ch4,,0,0,0,1,Ch4,1
13,0.11,0.124,0.14,0.626,Ch4,,0,0,0,1,Ch4,1
17,0.102,0.16,0.252,0.486,Ch4,,0,0,0,1,Ch4,1
17,0.114,0.128,0.134,0.624,Ch4,,0,0,0,1,Ch4,1
19,0.078,0.2,0.532,0.19,Ch3,,0,0,1,0,Ch3,1
19,0.056,0.144,0.106,0.694,Ch4,,0,0,1,0,Ch3,0
4,0.264,0.252,0.41,0.074,Ch3,,0,0,1,0,Ch3,1
5,0.14,0.57,0.184,0.106,Ch2,,0,1,0,0,Ch2,1
7,0.138,0.558,0.166,0.138,Ch2,,0,1,0,0,Ch2,1
7,0.156,0.288,0.468,0.088,Ch3,,0,1,0,0,Ch2,0
8,0.184,0.242,0.446,0.128,Ch3,,0,0,1,0,Ch3,1
8,0.218,0.242,0.442,0.098,Ch3,,0,0,1,0,Ch3,1
10,0.212,0.356,0.34,0.092,Ch2,,0,1,0,0,Ch2,1
11,0.144,0.194,0.56,0.102,Ch3,,0,0,1,0,Ch3,1
12,0.132,0.468,0.306,0.094,Ch2,,1,0,0,0,Ch1,0
15,0.144,0.606,0.158,0.092,Ch2,,0,1,0,0,Ch2,1
15,0.074,0.762,0.078,0.086,Ch2,,0,1,0,0,Ch2,1
17,0.204,0.53,0.132,0.134,Ch2,,0,1,0,0,Ch2,1
18,0.166,0.562,0.138,0.134,Ch2,,0,1,0,0,Ch2,1
1,0.162,0.186,0.318,0.334,Ch4,,0,0,1,0,Ch3,0
1,0.238,0.182,0.294,0.286,Ch3,,0,0,1,0,Ch3,1
1,0.264,0.116,0.064,0.556,Ch4,,0,0,1,0,Ch3,0
3,0.31,0.204,0.236,0.25,Ch1,,1,0,0,0,Ch1,1
3,0.224,0.18,0.2,0.396,Ch4,,1,0,0,0,Ch1,0
3,0.196,0.214,0.308,0.282,Ch3,,1,0,0,0,Ch1,0
4,0.102,0.132,0.482,0.284,Ch3,,0,0,1,0,Ch3,1
4,0.312,0.1,0.06,0.528,Ch4,,0,0,1,0,Ch3,0
5,0.122,0.134,0.04,0.704,Ch4,,0,0,0,1,Ch4,1
6,0.1,0.172,0.098,0.63,Ch4,,0,0,0,1,Ch4,1
9,0.034,0.098,0.036,0.832,Ch4,,0,0,0,1,Ch4,1
10,0.022,0.066,0.044,0.868,Ch4,,0,0,0,1,Ch4,1
14,0.11,0.144,0.11,0.636,Ch4,,0,0,0,1,Ch4,1
15,0.134,0.116,0.112,0.638,Ch4,,0,0,0,1,Ch4,1
15,0.01,0.066,0.118,0.806,Ch4,,0,0,0,1,Ch4,1
17,0.036,0.12,0.186,0.658,Ch4,,1,0,0,0,Ch1,0
1,0.576,0.148,0.112,0.164,Ch1,,1,0,0,0,Ch1,1
1,0.182,0.178,0.178,0.462,Ch4,,1,0,0,0,Ch1,0
3,0.208,0.164,0.128,0.5,Ch4,,0,0,0,1,Ch4,1
3,0.216,0.17,0.146,0.468,Ch4,,0,0,0,1,Ch4,1
3,0.17,0.158,0.222,0.45,Ch4,,0,0,0,1,Ch4,1
4,0.174,0.14,0.404,0.282,Ch3,,0,0,1,0,Ch3,1
5,0.434,0.172,0.128,0.266,Ch1,,1,0,0,0,Ch1,1
6,0.234,0.226,0.25,0.29,Ch4,,0,1,0,0,Ch2,0
6,0.226,0.254,0.264,0.256,Ch3,,0,1,0,0,Ch2,0
6,0.25,0.248,0.19,0.312,Ch4,,0,1,0,0,Ch2,0
8,0.41,0.256,0.146,0.188,Ch1,,1,0,0,0,Ch1,1
8,0.318,0.318,0.162,0.202,Ch1,,1,0,0,0,Ch1,1
8,0.254,0.294,0.06,0.392,Ch4,,1,0,0,0,Ch1,0
9,0.196,0.206,0.166,0.432,Ch4,,0,0,0,1,Ch4,1
12,0.078,0.368,0.046,0.508,Ch4,,0,0,1,0,Ch3,0
17,0.104,0.416,0.096,0.384,Ch2,,0,1,0,0,Ch2,1
1,0.104,0.14,0.13,0.626,Ch4,,0,0,0,1,Ch4,1
1,0.124,0.144,0.13,0.602,Ch4,,0,0,0,1,Ch4,1
2,0.156,0.106,0.094,0.644,Ch4,,0,0,0,1,Ch4,1
4,0.082,0.122,0.142,0.654,Ch4,,0,0,0,1,Ch4,1
4,0.116,0.196,0.134,0.554,Ch4,,0,0,0,1,Ch4,1
7,0.122,0.094,0.126,0.658,Ch4,,0,0,0,1,Ch4,1
7,0.016,0.008,0.01,0.966,Ch4,,0,0,0,1,Ch4,1
9,0.102,0.106,0.078,0.714,Ch4,,0,0,0,1,Ch4,1
10,0.014,0.006,0,0.98,Ch4,,0,0,0,1,Ch4,1
11,0.06,0.124,0.09,0.726,Ch4,,0,0,0,1,Ch4,1
11,0.092,0.074,0.058,0.776,Ch4,,0,0,0,1,Ch4,1
12,0.09,0.158,0.04,0.712,Ch4,,0,0,0,1,Ch4,1
13,0.094,0.102,0.066,0.738,Ch4,,0,0,0,1,Ch4,1
14,0.094,0.078,0.046,0.782,Ch4,,0,0,0,1,Ch4,1
15,0.128,0.21,0.04,0.622,Ch4,,0,1,0,0,Ch2,0
16,0.148,0.102,0.076,0.674,Ch4,,0,0,0,1,Ch4,1
17,0.356,0.1,0.062,0.482,Ch4,,1,0,0,0,Ch1,0
18,0.14,0.108,0.122,0.63,Ch4,,0,0,0,1,Ch4,1
19,0.082,0.128,0.078,0.712,Ch4,,0,0,0,1,Ch4,1
19,0.152,0.086,0.026,0.736,Ch4,,0,0,0,1,Ch4,1
1,0.238,0.434,0.162,0.166,Ch2,,0,1,0,0,Ch2,1
2,0.418,0.168,0.252,0.162,Ch1,,1,0,0,0,Ch1,1
2,0.48,0.18,0.192,0.148,Ch1,,1,0,0,0,Ch1,1
3,0.252,0.54,0.112,0.096,Ch2,,1,0,0,0,Ch1,0
